cornyield_smooth1960,cornyield_smooth1970,cornyield_smooth1975,cornyield_smooth1980,cornyield_smooth1990,cornyield_smooth2000
64.82,95.279999,84.400002,109,114.36,128.25999
69.459999,90.32,85.379997,111.12,119.18,133.58
65.260002,87.900002,95.419998,103.82,118.32,132.88
80.779999,108.84,110.2,121.48,117.06,148.7
62.739998,87.339996,92.239998,103.44,112.46,134.98
72.639999,101.98,102.66,118.72,121.22,145.78
56.48,86.739998,90.199997,94.979996,107.76,
79.099998,104.18,109.82,119.04,129.48,153.53999
74.299995,99.120003,100.98,115.2,119.52,148.46001
58.98,73.220001,88.379997,99.220001,103.58,120.8
71.800003,91.760002,93.599998,106.98,123.46,141.34
79.760002,106.42,103.62,120.52,124.44,157.08
50.920002,74.419998,83.599998,88.660004,97.5,
71.540001,86.059998,107.04,112.2,120.5,144.14
58.599998,79.620003,77.800003,96.760002,110.02,116.56
75.639999,95.599998,105.44,117.76,124.16,146.02
68.540001,79.099998,82.599998,96.379997,106.9,126.24
71.300003,100.34,95.18,114.3,117.7,144.34
63.639999,82.959999,95.18,105.66,116.5,131.98
66.900002,79.800003,85.620003,101.3,116.46,130.56
69.619995,90.959999,95.419998,114.46,114.74,135.75999
52.459999,65.82,82,89.5,99.139999,
70.779999,99.68,107.42,115.06001,112.08,142.89999
68.18,80.019997,88.599998,104.04,115.44,126.04
65.980003,91.419998,90.220001,97.020004,111.56,129.52
66.5,90.68,102.78,109.12,122.08,139.92
72.18,103.64,101.62,119.78,124.86,137.67999
60.48,90.760002,96.18,105.24,113.9,131.53999
70.860001,97.099998,99.779999,117.94,118.2,139.75999
68.879997,94.839996,98.599998,114.88,122.74,138.2
61.459999,74.160004,81.800003,99.360001,97.32,115.38
75.32,90.360001,99.059998,117.7,121.92001,146.45999
73.300003,89.760002,93.379997,113.5,113.08,141.74001
80.099998,114.1,105.38,127.92,130.75999,151.68001
66.5,95.139999,92.620003,112.4,116.52,128.17999
60.18,88.279999,92.419998,102.98,103.58,120.46
76.18,107.02,100.98,108.02,109.42,146.78
58.619999,78.739998,80.580002,100.38,104.9,124.68
61.939999,85.199997,84.599998,96.199997,107.68,120.82
59.700001,83.760002,89,98.379997,117.3,127.64
68.160004,95.860001,99.360001,119.34,124.46,136.16
61.740002,95.440002,109.62,111.18,122.28,142.06
68.260002,86.860001,87.839996,99.919998,112.76,136.54001
65.440002,80.080002,89.839996,98.139999,111.46,111.4
73.559998,95.900002,97.220001,110.34,98.440002,133.66
75.019997,97.099998,91.400002,106.56,112.38,131.48
61,79.720001,86,97.779999,97.919998,112.94
74.32,99.760002,98.339996,120.8,125.34,148.53999
63.98,98.559998,95.800003,113.42,116.8,139.22
67.68,87.940002,87.419998,94.340004,112.96,136.94
55.939999,77.479996,84.959999,111.02,109.78,122.8
75.440002,93.720001,95.580002,110.94,118.78,134.2
57.559998,80.82,89.620003,104.14,107.94,128.34
74,100.3,102.6,119.72,119.26,148.22
63.419998,93.059998,100.4,107.14,125.38,140.12
78.779999,108.64,112.22,119.56001,115.2,153.51999
66.720001,80.379997,88.440002,97.080002,113.7,127.26
60.639999,80.599998,84.82,90.439995,106.24,
63.139999,85.040001,90.620003,104.06001,101.7,124.52
59.32,84.860001,92.040001,105.74,115.04,130.53999
71.379997,97.32,97.82,108.78,115.42,136.14
