prec_smooth1960,tavg_smooth1960,dday32C_smooth1960,prec_smooth1970,tavg_smooth1970,dday32C_smooth1970,prec_smooth1980,tavg_smooth1980,dday32C_smooth1980,prec_smooth1990,tavg_smooth1990,dday32C_smooth1990,prec_smooth2000,tavg_smooth2000,dday32C_smooth2000,Cluster
73.303444,23.149649,25.582937,61.937374,23.20801,32.483883,70.298157,23.381151,51.302856,69.251236,23.046415,29.562941,53.950268,23.981226,56.880585,1
68.750259,23.555048,28.700731,63.075787,23.553484,35.911011,66.022888,23.634712,54.72374,71.038094,23.003698,24.371153,55.95126,23.993195,62.212753,1
64.215408,22.589184,25.033617,61.198261,22.69359,26.965567,59.779522,22.916,44.099522,60.776993,22.636496,25.478802,49.906429,23.476032,39.608322,1
60.183086,21.484442,17.591692,58.601063,21.616722,19.20376,54.095123,21.843575,35.56559,61.709091,21.45752,20.634233,50.247021,22.41806,35.82592,1
64.431488,22.988802,25.893717,60.320747,23.124615,29.406363,63.440437,23.25098,44.147629,59.092651,22.999153,25.325798,49.878963,23.749378,36.582611,1
66.571381,23.576666,24.550489,54.927383,23.628704,28.023022,66.959885,23.839985,43.828285,62.939499,23.530155,24.679745,44.810814,24.478598,43.687199,1
69.505096,22.558886,24.141642,59.257099,22.891163,32.663898,59.057613,22.768604,47.014057,64.60479,22.304956,27.533215,53.419136,23.295847,46.900455,1
66.866562,24.062576,34.552181,59.365227,23.999334,37.838905,59.05933,24.235722,56.18647,67.800545,23.726376,28.711029,51.86063,24.58145,61.638081,1
60.97963,22.737925,23.945002,61.29277,22.906322,28.200783,54.778809,23.03146,44.186508,57.515285,22.724478,25.145306,52.608582,23.4041,34.8055,1
64.483849,23.150278,18.631474,58.895996,23.271065,22.7815,71.42054,23.495121,33.127621,63.575375,23.131271,19.876406,49.699932,24.066456,31.226448,1
68.472466,23.585457,24.987385,57.205418,23.652866,28.53713,64.129669,23.912205,43.716122,66.218559,23.482033,24.10408,48.34729,24.538689,44.172272,1
63.833725,24.053637,31.730118,58.280319,24.148148,42.435287,58.860672,24.284674,63.993416,68.452621,23.609678,27.856758,54.744762,24.620592,69.743935,1
67.043312,22.993156,34.465347,59.66053,23.303879,42.23373,59.467068,23.341097,58.554089,64.749428,22.786036,34.466293,54.195518,23.710234,57.328667,1
63.43644,23.217058,21.434671,54.172108,23.411825,26.876863,68.24231,23.650476,42.340576,60.089405,23.353815,22.33007,42.518051,24.217043,38.779179,1
