cornyield_smooth1960,cornyield_smooth2000
52.540001,99.599998
59.540001,129.58
46.899998,94.440002
43.34,92.199997
25.84,137.8
66.82,170.7
47.220001,129.72
51.799999,137.42
66.040001,142.75999
44.580002,119.98
52.560001,107.8
27.440001,153.7
50.080002,126.68
58.68,108.4
53.860001,128.7
67.779999,137.48
55.48,129.28
26.299999,129.78
40.060001,145.24001
56.040001,142.3
50.82,122.44
64.559998,140.62
17.280001,
51.900002,125.96
47.02,141.3
61.079998,126.38
51.060001,121.58
46,130.16
37.779999,139.58
66.68,157.98001
,
,
,
,
,
,
,
,
,
,
,
,90.300003
,
,
,94.32
,78.639999
,83.840004
,81.900002
,91.440002
,89.760002
,84.260002
,
,92.739998
,69.5
,77.300003
,88.639999
,92
,104.4
,101.4
,102.6
,107.8
,101.8
,93.599998
,103.4
,113.4
,96.400002
,96
,91.400002
,99
,103.8
,86
,108.2
,100.2
,105.8
,90
,103.6
,106
,105.2
,106.6
,102.6
,103.8
,98.599998
,100.2
,101.6
,102.8
,102.4
,87.800003
,107
,96.599998
,99.599998
,
,99.800003
,95.800003
,104.8
,78.800003
,109
,101.8
,99.800003
,96.599998
,113.4
,84.199997
,93
,93
,95.199997
,
,104.4
,103.4
,
,111.4
,99.599998
45.599998,70.800003
44.200001,59.200001
58.799999,
35.200001,78.400002
61.799999,
57,
54.799999,108.6
55.599998,92.599998
41,87
38.400002,79.400002
51.599998,
49.599998,78.400002
34.799999,69.800003
47.400002,81.599998
70.400002,121.2
48.599998,112.2
37.200001,64.199997
38.599998,77.400002
44.200001,77
44.799999,95.599998
54.599998,110.4
51.799999,
37.599998,62.400002
48.599998,82
43,89.800003
37.599998,
72.800003,122
44.799999,74.199997
42,79.599998
48.400002,90.199997
44.400002,
49,79.400002
39.400002,71.400002
39.799999,80.599998
37,
51.599998,86.199997
36.200001,71.199997
50,91.800003
40.400002,65.800003
49.799999,73.599998
44.599998,74.400002
52,
53.200001,106
54.400002,92
42.200001,70.199997
60.799999,118.8
39.599998,85.400002
46.200001,74
47.400002,97.400002
41.599998,72.599998
50.799999,100.8
39.400002,66.800003
46.799999,
53,
55.200001,81
35,67.400002
55.599998,
34.400002,
34.200001,70.800003
50.200001,74.199997
43.599998,
48.200001,80
46.799999,98.599998
43.599998,73.800003
50.599998,105.6
66.800003,121
45.200001,86.199997
67.599998,112.6
35.799999,76.199997
50,82.599998
38.200001,
42.799999,75.599998
32.400002,69.400002
39.400002,80
36.200001,76.599998
42.200001,78
39.400002,
48.799999,83.400002
39.200001,63.200001
41.200001,82
37.799999,74.599998
46,90.199997
47.799999,
55.599998,96.199997
52.599998,123.4
38.200001,83.800003
37.200001,
42.400002,
36.200001,74.199997
58.799999,113
62.400002,
50.799999,89.599998
44.799999,94.599998
54,84.400002
43.200001,94.199997
55.200001,
15.5,57.759998
25.4,112.5
24.799999,79.599998
14.2,
,73.660004
17,51.439999
,
14.8,84.839996
30.9,119.18
,
24,122.93999
,
19.4,78.239998
,
17.799999,94.239998
28.4,95.099998
,67.82
39.599998,100.72
14.6,
29.799999,103.58
14.8,62.02
20.9,132
25,118.2
21.799999,85.959999
22.799999,86.5
21.4,90.099998
22,89.379997
,89.220001
17.799999,108.04
14.2,91.059998
,57.799999
23,95.260002
20.200001,95.779999
33.200001,102.76
,86.120003
23.4,90.620003
27.799999,122.02
,61.760002
32.400002,125
,60.02
28,122.88
,
15,
15.2,
18,62.380001
27.6,113.5
25,97.839996
,
31.799999,118.24
37.599998,102.2
,78.400002
28.4,78.620003
,
60.799999,99.860001
63.200001,132.24001
66.900002,110.22
59.5,114.18
58.739998,119.56
64.199997,127.78
56.419998,
55.200001,117.62
64,114.92
54.5,95.699997
71.800003,135.58
75.599998,136.64
50.099998,105.56
73.900002,139.36
59.200001,108.5
71,115.82
66.699997,136.44
54.84,
70.099998,138.22
65.599998,136.08
67.099998,125.4
76.099998,129.95999
69.699997,126.78
71.800003,129.48
64.300003,115.88
77.699997,135.89999
58,102.46
62.419998,104.9
76.099998,129.25999
58,109.3
64.720001,119.46
70,125.93999
69.800003,132.89999
55.18,84.080002
77.699997,141.7
68.300003,125.25999
62,115.6
71.800003,111.14
68.800003,124.44
58.619999,91.839996
58.139999,
66.599998,119.74
59.759998,
55.080002,101.18
68.099998,126.08
63.700001,133.04001
63.900002,119.02
75.800003,139.56
69.900002,133.32001
63.099998,110.6
68,132.64
66.699997,106.48
53.119999,109.6
64.199997,133.86
69.199997,138.64
56.220001,109.98
65.800003,134.38
58.18,107.7
60.400002,125.5
62.299999,113.92
54.599998,90.260002
67.5,120.56
66.599998,124.78
60.200001,128.48
71.400002,116.56
62.900002,103.92
61.48,108.8
67.099998,138.44
70.199997,131.2
63,120.76
68.900002,126.08
75.400002,136.42
60.299999,108.9
69.800003,126.92
62.900002,137.58
63.700001,103.48
58.5,109.88
60.400002,121.68
65.099998,98.559998
63.599998,136.2
67.800003,133.89999
56.68,99.099998
63.5,129.8
58.200001,107.26
78,117.08
64.5,122.5
73.400002,130.75999
69.099998,124.66
34.139999,
26.200001,102.08
24.799999,
27.08,151.34
35.98,
26.76,
32.400002,91.360001
30.68,78.559998
41.66,
27.4,
31.059999,
25.299999,94.059998
28.620001,159.03999
40.82,
30.700001,
30.32,76.980003
36.599998,
33.139999,74.82
31.92,
34.080002,78.860001
37.02,
,
21.82,142.38
,
47.360001,99.520004
40.52,
28.200001,
,
25.280001,
,152.34
33.099998,97.059998
33.52,100.48
29.1,
25.1,
36,
40.900002,89.959999
31.4,
30.26,
24.24,
28.799999,83.400002
32.200001,
30.5,
26.700001,
40.84,93.300003
29.76,73.639999
32.68,
25.219999,132
29.799999,
31.200001,70.720001
32.84,
27.52,120.92
38.380001,
33.099998,81.559998
25.58,81.879997
42.18,104.56
24.68,94.860001
36.48,
35.900002,84.199997
36.779999,
30.379999,
29.1,
34.5,
41.400002,98.080002
27.700001,
25.68,
28.82,
27.24,
29.48,109.08
29.620001,
56.18,169.02
25.02,56.200001
37.220001,
31.620001,90.400002
32.400002,
28.74,
25.68,
20.200001,
,93.040001
,
,95.779999
,82.580002
,90.379997
,93.800003
,108.22
,87.080002
,91.559998
,95.68
,93.040001
,
,75.82
,99.400002
,102.48
,93.419998
,93.760002
,82.400002
,96.459999
,100.06
,95.480003
,88.620003
,
,80.059998
,95.419998
,85.599998
,
,98.900002
,87.580002
,
,95.5
,96.239998
,88.540001
,89.279999
,88.220001
,101.52
,100.62
,99.580002
,86.080002
,81.300003
,92.019997
,
,99.839996
,101.42
,
,
,88.419998
,87.220001
,96.980003
,87.400002
,
,
,82.900002
,83.279999
,91.040001
,79.119995
,76.419998
,88.279999
,78.860001
,92.440002
,95.400002
,
,85.019997
,85.580002
,90.779999
,86.260002
,102.7
,
,
,
,
,
23.02,
21.9,49.799999
33.52,54.200001
25.779999,49.200001
31.360001,57.400002
26.42,53.400002
37.52,
33.639999,58.200001
30.58,71
38.720001,
25.6,
22.040001,
24.76,67.400002
31.879999,72.599998
33.98,57.799999
36.16,71
35.200001,67.599998
34.580002,57.799999
24.76,47.400002
21.780001,
34.240002,66
34.899998,59
28.08,
27.1,
37.720001,58.200001
36.299999,71.599998
